Species,Mean_lifespan
Rhea americana,7.8
Diceros bicornis michaeli,19
Cerathotherium simum,36.5
Bassariscus astutus,11.4
Coracias cyanogaster,8.9
Pithecia pithecia,-
Pristis microdon,Data deficient
Pristis zijsron,Data deficient
Pristis pectinata,Data deficient
Chauna torquata,
Za/ophus ca/ifornianus,23.3
Eumetopias jubatus,Data deficient
Ha/ichoerus grypus,Data deficient
Phoca vitulina,23
Callorhinus ursinus,Data deficient
Cariama cristata,17.9
Leptailurus serval,13.5
Kittacincla malabarica,4.8
Carcharhinus melanopterus,17.7
Carcharias taurus,21.4
Stegostoma fasciatum,Data deficient
Ovis canadensis nelsoni,-
Symphalangus syndactylus,26.7
Propithecus coquereli,-
Tragelaphus spekii,-
Corucia zebrata,-
Choleopus hoffmanni,15.2
Choleopus didactylus,-
Drymarchon couperi,11.6
Pituophis ruthveni,18.5
Poecilotheria metallica,Data deficient
